age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,remark,pline,track,hhead,respond,year,returnee
30.0,9.0,,4.0,1,589025.2,130256.0,,16991.848,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,201101721,,3.0,1,0.0,0.0,2015.0,1.0
25.0,9.0,,4.0,0,375280.0,24270.0,20000.0,30399.998,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,201105137,,4.0,1,0.0,0.0,2015.0,1.0
42.0,12.0,20000.00390625,2.0,0,420594.94,60800.0,,35206.0,,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,201101033,,5.0,1,0.0,0.0,2015.0,1.0
22.0,9.0,48000.01171875,4.0,0,246500.0,91472.0,,39127.996,,1.0,1.0,2.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,201108288,,4.0,1,0.0,0.0,2015.0,0.0
43.0,6.0,39999.99609375,3.0,0,420056.66,43600.0,,34680.0,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,201104050,,1.0,1,1.0,1.0,2015.0,1.0
27.0,15.0,,3.0,0,202726.9,16903.0,,51151.992,,0.0,,1.0,,,,,,,1.0,1.0,1.0,2013007248,,3.0,1,0.0,0.0,2015.0,0.0
60.0,6.0,,1.0,0,186970.14,7950.0,,7914.312,,1.0,1.0,3.0,1.0,1.0,3.0,3.0,,0.0,0.0,1.0,2.0,2015020892,,1.0,0,1.0,1.0,2015.0,1.0
34.0,19.0,,5.0,1,974817.3,64000.0,765000.0,84319.0,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,2015021984,,4.0,0,0.0,0.0,2015.0,0.0
26.0,16.0,,4.0,0,5550.0,33400.0,,14884.342,,0.0,,1.0,,,,,,,0.0,1.0,1.0,2013012519,,3.0,1,0.0,0.0,2015.0,0.0
38.0,9.0,,3.0,0,13890.0,3530.0,700.0,13356.004,,0.0,,2.0,,,,,,,1.0,1.0,2.0,2013026710,,4.0,1,0.0,0.0,2015.0,0.0
34.0,9.0,39999.99609375,2.0,0,205943.61,40000.0,,25836.0,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,2013019033,,2.0,1,1.0,1.0,2015.0,0.0
27.0,15.0,42807.32421875,1.0,1,3879402.5,2361550.0,,197399.95,,1.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,,1.0,1.0,2015016912,,1.0,0,1.0,1.0,2015.0,1.0
30.0,9.0,,2.0,0,314500.0,19910.0,,23347.043,5999.99951171875,1.0,1.0,2.0,,,,3.0,,,0.0,1.0,1.0,2013017100,,2.0,1,1.0,0.0,2015.0,0.0
33.0,9.0,,4.0,0,1463782.9,92400.0,,62808.33,,0.0,1.0,2.0,1.0,0.0,,2.0,,0.0,0.0,1.0,1.0,2015000898,,4.0,0,0.0,0.0,2015.0,0.0
52.0,9.0,,3.0,0,1293358.5,117124.0,60000.0,41340.004,,1.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,,1.0,2.0,2015006897,,2.0,0,0.0,0.0,2015.0,1.0
22.0,9.0,38399.9921875,7.0,0,643400.0,210550.0,46000.0,30465.93,,1.0,1.0,2.0,1.0,1.0,,,0.0,0.0,0.0,1.0,2.0,2013021127,,4.0,1,0.0,0.0,2015.0,0.0
51.0,12.0,,1.0,0,171417.92,11651.0,,8979.999,,0.0,,2.0,,,,,,,,1.0,2.0,2013004370,,2.0,1,0.0,0.0,2015.0,0.0
58.0,12.0,,2.0,0,3873315.5,47000.0,,73060.14,,0.0,,2.0,,,,,,,,1.0,1.0,2013008060,,2.0,1,0.0,0.0,2015.0,0.0
35.0,9.0,20000.00390625,3.0,0,40900.0,37560.0,,14280.001,,1.0,1.0,1.0,2.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2013024522,,7.0,1,0.0,0.0,2015.0,0.0
46.0,0.0,,2.0,0,4250.0,80000.0,21000.0,50599.99,,1.0,1.0,2.0,2.0,1.0,,3.0,,0.0,,2.0,2.0,2013025168,,2.0,1,1.0,0.0,2015.0,0.0
33.0,6.0,,2.0,0,168219.36,112874.0,10000.0,23031.0,,0.0,1.0,2.0,2.0,0.0,3.0,3.0,,0.0,0.0,1.0,1.0,2013013692,,2.0,1,0.0,1.0,2015.0,1.0
38.0,9.0,,2.0,0,125000.0,8322.0,,8047.999,,1.0,,2.0,,,,,,,,3.0,3.0,2013017560,,2.0,1,0.0,0.0,2015.0,0.0
43.0,0.0,,2.0,0,58821.074,22156.0,,37739.99,,1.0,1.0,2.0,1.0,0.0,3.0,3.0,,0.0,0.0,1.0,1.0,2013026618,,4.0,1,1.0,0.0,2015.0,1.0
29.0,12.0,50000.0078125,3.0,1,959623.25,166600.0,60000.0,58919.992,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,,1.0,1.0,2013012699,,4.0,1,0.0,0.0,2015.0,1.0
37.0,9.0,,4.0,0,200496.67,1660.0,,31560.002,,1.0,,2.0,,,,,,,0.0,1.0,2.0,2013014211,,4.0,1,0.0,0.0,2015.0,0.0
49.0,9.0,15000.00390625,4.0,0,871756.3,286211.0,,252099.97,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2015025808,,1.0,0,1.0,1.0,2015.0,1.0
23.0,15.0,,3.0,0,383062.88,0.0,,35500.004,,0.0,1.0,1.0,1.0,0.0,,3.0,,0.0,,1.0,1.0,2015030856,,1.0,0,0.0,1.0,2015.0,1.0
23.0,12.0,1999.9998779296875,4.0,0,28309.402,33820.0,,23499.996,,0.0,1.0,1.0,2.0,1.0,,,0.0,0.0,0.0,1.0,1.0,2013020981,,5.0,1,0.0,0.0,2015.0,1.0
41.0,16.0,,1.0,0,429500.0,42129.0,,33472.0,,1.0,,2.0,,,,,,,0.0,1.0,2.0,201103399,,3.0,1,0.0,0.0,2015.0,0.0
38.0,12.0,,2.0,0,668308.1,63060.0,,44743.992,,1.0,,2.0,,,,,,,0.0,1.0,1.0,2013016559,,5.0,1,0.0,0.0,2015.0,0.0
