age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,track,hhead,year,hhid_2011,hhid_2013,hhid_2015,hhid_2017,returnee
32.0,9.0,42000.0,2.0,0,1150.0,84200.17,0.0,23840.0,,0.0,1.0,2.0,1.0,1.0,,,0.0,0.0,,3.0,1.0,2017017460,1,0,1.0,2017.0,.,.,.,2017017460,0.0
49.0,9.0,,2.0,0,3948.0,625.0,0.0,9794.0,,0.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,,2.0,2.0,2013020792,1,1,1.0,2017.0,.,2013020792,2015028589,2017020093,1.0
42.0,9.0,50000.0,3.0,0,3248869.0,120070.0,0.0,90000.0,400.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2015016938,3,1,,2017.0,.,.,2015016938,2017007840,1.0
49.0,9.0,,2.0,0,1046172.0,50208.34,,64560.0,,1.0,0.0,2.0,2.0,1.0,,2.0,0.0,,,1.0,1.0,2017012875,1,0,1.0,2017.0,.,.,.,2017012875,0.0
53.0,9.0,66000.0,4.0,1,718370.0,40336.0,155000.0,88979.0,,1.0,1.0,2.0,2.0,1.0,,3.0,0.0,0.0,0.0,1.0,1.0,2013007287,2,1,1.0,2017.0,.,2013007287,2015009859,2017021262,0.0
26.0,16.0,,2.0,0,8684.0,57869.867,,34498.0,,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,,2.0,1.0,2017033592,1,0,,2017.0,.,.,.,2017033592,0.0
34.0,12.0,,2.0,1,2403000.0,356850.0,0.0,262000.0,,1.0,1.0,2.0,1.0,1.0,,,0.0,,,2.0,1.0,2013001330,1,1,1.0,2017.0,.,2013001330,2015001323,2017039173,0.0
55.0,0.0,21600.0,3.0,0,255050.0,41700.0,80000.0,17300.0,5500.0,0.0,1.0,2.0,1.0,0.0,,2.0,0.0,0.0,,1.0,2.0,2017018085,1,0,1.0,2017.0,.,.,.,2017018085,1.0
53.0,12.0,,1.0,0,372800.0,23707.0,,10660.0,,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,,,1.0,1.0,201105623,1,1,1.0,2017.0,201105623,2013017263,2015022995,2017005052,1.0
35.0,15.0,,2.0,1,574772.0,40491.5,69443.0,27471.0,,1.0,1.0,2.0,1.0,1.0,,3.0,0.0,0.0,,1.0,1.0,2017031883,2,0,1.0,2017.0,.,.,.,2017031883,0.0
