age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,hhead,year,returnee
25.0,19.0,60000.0,3.0,1,4724804.0,345077.0,50000.0,109800.0,,1.0,0.0,1.0,1.0,,4.0,2.0,,0.0,,1.0,1.0,2017000972,31,0,2019.0,1.0
21.0,15.0,,3.0,1,1490800.0,15605.0,0.0,89052.0,,1.0,1.0,1.0,1.0,,,,,,0.0,1.0,1.0,2015019368,3,0,2019.0,0.0
29.0,12.0,,3.0,2,2319814.0,203450.0,120000.0,221480.0,,1.0,1.0,2.0,2.0,,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2019022164,2,1,2019.0,0.0
31.0,16.0,50000.0,3.0,1,2725258.2,223047.5,200000.0,283300.0,,1.0,0.0,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2017000697,3,0,2019.0,1.0
53.0,6.0,,2.0,0,170864.0,52021.0,,65860.0,1100.0,0.0,1.0,2.0,3.0,,,3.0,,,0.0,3.0,1.0,2019028921,1,0,2019.0,1.0
33.0,9.0,,2.0,0,135700.0,57307.0,39500.0,61850.0,,0.0,1.0,2.0,1.0,,,3.0,,,0.0,1.0,1.0,2019007156,1,1,2019.0,1.0
18.0,12.0,,5.0,0,1622864.0,234309.0,298000.0,125500.0,,1.0,1.0,1.0,1.0,,,2.0,,,0.0,1.0,1.0,2015024130,6,0,2019.0,0.0
58.0,12.0,24000.0,2.0,0,451747.0,38000.176,,25668.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2019027652,1,1,2019.0,0.0
16.0,9.0,,3.0,0,57735.0,8420.375,8000.0,41307.0,,0.0,1.0,,1.0,,,4.0,,,0.0,1.0,1.0,2015032382,4,0,2019.0,0.0
21.0,16.0,,3.0,0,355083.0,33550.0,80000.0,98990.0,,0.0,1.0,1.0,1.0,,,3.0,,,0.0,1.0,1.0,2019020326,3,0,2019.0,0.0
43.0,9.0,,2.0,1,1219078.5,111000.0,54000.0,124909.0,,1.0,1.0,2.0,1.0,,3.0,3.0,,0.0,,1.0,1.0,2015032772,2,0,2019.0,0.0
16.0,12.0,,3.0,0,539410.0,74400.0,0.0,55500.0,,1.0,0.0,,2.0,,,,,,,1.0,1.0,2013024295,3,0,2019.0,0.0
28.0,9.0,36000.0,4.0,0,24940.0,68470.0,0.0,42700.0,,1.0,1.0,2.0,1.0,,,,,0.0,0.0,1.0,1.0,2013007771,3,0,2019.0,0.0
37.0,9.0,,2.0,1,66660.0,0.35,0.0,129000.0,,0.0,1.0,2.0,2.0,,4.0,2.0,,,0.0,2.0,1.0,2019024952,2,0,2019.0,0.0
16.0,12.0,,4.0,0,1968817.0,116270.0,0.0,57964.0,,0.0,1.0,,1.0,,,3.0,,,0.0,1.0,1.0,2015020180,5,0,2019.0,0.0
16.0,9.0,,3.0,1,2802831.0,82537.5,323077.0,179830.0,,0.0,0.0,,2.0,,,2.0,,,,1.0,1.0,2019023954,3,0,2019.0,0.0
45.0,12.0,33000.0,3.0,1,413981.0,220844.0,0.0,45180.0,,0.0,1.0,2.0,1.0,,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2019031910,1,0,2019.0,1.0
56.0,6.0,38400.0,2.0,0,148440.0,78263.5,0.0,88210.0,,1.0,1.0,2.0,3.0,,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2017013932,1,1,2019.0,1.0
42.0,9.0,,3.0,2,13947800.0,5050.0,10000.0,422500.0,,1.0,1.0,2.0,1.0,,2.0,4.0,0.0,0.0,0.0,1.0,1.0,2017021853,1,1,2019.0,0.0
16.0,12.0,,3.0,0,144653.0,29712.0,50000.0,18275.0,,0.0,1.0,,1.0,,,3.0,,,1.0,1.0,1.0,2015016266,4,0,2019.0,0.0
20.0,16.0,,3.0,1,735720.0,125630.0,0.0,62170.0,,1.0,1.0,1.0,1.0,,,,,,0.0,1.0,1.0,2019017553,3,0,2019.0,0.0
46.0,9.0,,1.0,0,170031.0,6512.0,0.0,20132.0,1800.0,1.0,1.0,1.0,3.0,,3.0,3.0,,,0.0,1.0,2.0,2017013218,31,0,2019.0,1.0
24.0,16.0,,3.0,0,568341.0,50303.0,0.0,27892.0,,0.0,1.0,1.0,1.0,,,,,,0.0,1.0,2.0,2013022501,23,0,2019.0,0.0
47.0,9.0,96000.0,3.0,1,2376834.0,142060.78,,97271.0,,1.0,0.0,2.0,2.0,,1.0,1.0,0.0,1.0,,1.0,1.0,2019027205,3,0,2019.0,0.0
57.0,6.0,,1.0,0,11440.0,723.0,0.0,20344.0,,0.0,1.0,2.0,2.0,,,3.0,,,0.0,1.0,2.0,2017039572,2,0,2019.0,0.0
30.0,6.0,24000.0,4.0,0,508881.0,51150.0,200000.0,74329.0,,0.0,1.0,2.0,1.0,,,3.0,,0.0,0.0,1.0,2.0,2013014021,4,0,2019.0,1.0
23.0,12.0,,2.0,2,1969830.0,400350.0,100000.0,484700.0,30000.0,0.0,0.0,2.0,1.0,,2.0,2.0,0.0,0.0,,2.0,1.0,2019020466,1,1,2019.0,0.0
25.0,15.0,60000.0,3.0,0,285162.0,150674.23,,89028.0,,0.0,1.0,2.0,1.0,1.0,,3.0,,0.0,0.0,2.0,1.0,2017034628,1,1,2019.0,0.0
42.0,6.0,,2.0,0,735020.0,1709514.0,100000.0,44547.0,,1.0,1.0,2.0,1.0,,,3.0,,,,1.0,1.0,2015012886,2,0,2019.0,1.0
22.0,16.0,,3.0,1,2578000.0,61305.0,0.0,178136.0,,1.0,1.0,1.0,1.0,,,3.0,,,0.0,1.0,1.0,2019012692,3,0,2019.0,0.0
55.0,9.0,25000.0,1.0,0,368780.0,34920.0,0.0,23654.0,,1.0,1.0,2.0,3.0,,4.0,3.0,,0.0,0.0,1.0,1.0,2019021275,1,1,2019.0,1.0
24.0,16.0,,4.0,1,247986.0,80695.0,0.0,70291.0,,0.0,1.0,1.0,1.0,,3.0,3.0,,0.0,0.0,1.0,1.0,2013025684,22,0,2019.0,1.0
32.0,16.0,56400.0,3.0,3,2954120.5,266150.0,280000.0,384591.0,,1.0,0.0,2.0,1.0,,2.0,1.0,0.0,1.0,,1.0,1.0,2017011981,3,0,2019.0,1.0
